cvr_number,company_name,website,bucket,industry_code,industry_name,gdpr_sensitive,contactable,cms,hosting,ssl_valid,ssl_expiry,subdomain_count,findings_count
32342396,frishop.dk,frishop.dk,E,475220,,False,True,,Cloudflare,True,2026-05-12,0,3
29265739,frisorlyhne.dk,frisorlyhne.dk,A,962100,,True,True,WordPress,Unknown,True,2026-05-19,0,8
30087577,frontpeople.dk,frontpeople.dk,A,782000,,True,True,WordPress,LiteSpeed,True,2026-05-07,0,7
34086761,gaardhaven.com,gaardhaven.com,A,889150,,True,True,WordPress,Unknown,True,2026-05-13,0,8
18150913,gafjv.dk,gafjv.dk,E,353000,,False,True,,Unknown,False,,0,5
33051050,gas.dk,gas.dk,A,461400,,True,True,WordPress,LiteSpeed,True,2026-05-14,0,8
38664018,give-fjernvarme.dk,give-fjernvarme.dk,E,353000,,False,True,,Unknown,True,2026-10-31,0,3
51116615,give.peugeot.dk,give.peugeot.dk,D,478100,,False,True,,Unknown,False,,0,5
21347973,giveel.dk,giveel.dk,E,475400,,False,True,,Unknown,True,2026-05-24,0,3
16002933,givegolfklub.dk,givegolfklub.dk,B,931200,,False,True,Joomla,Unknown,True,2026-06-04,0,4
33758758,givehuset.dk,givehuset.dk,A,711100,,True,True,WordPress,Cloudflare,True,2026-05-28,0,7
28668031,givesco.dk,givesco.dk,A,701010,,True,True,WordPress,Cloudflare,True,2026-05-23,0,7
36724889,godmail.dk,godmail.dk,E,494100,,False,True,,Unknown,True,2026-06-19,0,5
35503528,grejsdalenshotel.dk,grejsdalenshotel.dk,E,562200,,False,True,,Unknown,True,2026-04-28,0,4
12344678,grejsfriskole.dk,grejsfriskole.dk,A,852010,,False,True,WordPress,LiteSpeed,True,2026-06-15,0,6
13678790,gundtoft.dk,gundtoft.dk,E,682040,,True,True,,Unknown,True,2026-05-01,0,5
32094570,gustav-denmark.com,gustav-denmark.com,E,741100,,True,True,,Unknown,True,2026-05-19,0,1
30914082,haastrupgaard.dk,haastrupgaard.dk,A,015000,,False,True,WordPress,LiteSpeed,True,2026-05-05,0,7
10887895,harresoe.dk,harresoe.dk,A,433200,,False,True,WordPress,Unknown,True,2026-06-13,0,6
21969990,helenekilde.com,helenekilde.com,A,551000,,True,True,WordPress,Cloudflare,True,2026-06-01,0,8
31502101,hetek.dk,hetek.dk,A,432100,,True,True,WordPress,Unknown,True,2026-05-07,0,7
10126762,hhcare.dk,hhcare.dk,A,463800,,True,True,WordPress,LiteSpeed,True,2026-05-12,0,8
28696647,hoejgaardinstallation.dk,hoejgaardinstallation.dk,A,432100,,True,True,WordPress,Unknown,True,2026-05-20,0,6
50667413,holstsko.dk,holstsko.dk,C,477210,,True,True,Shopify,Cloudflare,True,2026-06-03,0,0
25286324,hotncold.dk,hotncold.dk,A,466400,,True,True,WordPress,LiteSpeed,True,2026-06-15,0,8
30505190,hyundai-buch-vejle.dk,hyundai-buch-vejle.dk,D,478100,,False,True,,Unknown,False,,0,5
10006317,igus.dk,igus.dk,E,468600,,False,True,,Unknown,True,2026-11-18,0,2
18136619,imb.dk,imb.dk,A,855900,,True,True,WordPress,Unknown,True,2026-06-19,0,6
